col0	col1	col2	col3	col4	col5	col6	col7	col8	col9	
''	'Al1'	'Al11'	'Al12'	'Al13'	'Al2'	'Al21'	'Al22'	'Al23 '	'Al24'	
'S165'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S162'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S161'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S159'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S153'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S140'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S135'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S123'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S120'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S111'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S099'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S095'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S078'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S072'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S057'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S054'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S053'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S051'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S044'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S042'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S039'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S034'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S033'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S027'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S025'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S024'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S021'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S012'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S093'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'0'	'1'	
'S087'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	'0'	'1'	
'S138'	'1'	'1'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S105'	'1'	'1'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S150'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	'1'	
'S148'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	'1'	
'S144'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	'1'	
'S126'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	'1'	
'S121'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	'1'	
'S117'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	'1'	
'S108'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	'1'	
'S090'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	'0'	'1'	
'S084'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	'0'	'1'	
'S060'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	'1'	'1'	
'S048'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	'1'	'1'	
'S114'	'0'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	'1'	
'S141'	'0'	'1'	'0'	'1'	'1'	'1'	'1'	'1'	'1'	
'S083'	'0'	'1'	'0'	'1'	'1'	'1'	'1'	'0'	'1'	
'S110'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	'1'	'1'	
'S081'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	'1'	'1'	
'S075'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	'1'	'1'	
