col0	col1	col2	col3	col4	col5	col6	col7	
''	'Al1'	'Al11'	'Al12'	'Al13'	'Al2'	'Al21'	'Al22'	
'S360'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S358'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S348'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S345'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S337'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S312'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S310'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S292'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S288'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S285'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S282'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S276'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S273'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S267'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S260'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S252'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S245'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S232'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S228'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S222'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S218'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S216'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S205'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S198'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S196'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S195'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S192'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S176'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S174'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S171'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S165'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S162'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S161'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S159'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S153'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S140'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S135'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S123'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S120'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S111'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S099'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S095'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S093'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S087'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S078'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S072'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S057'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S054'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S053'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S051'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S044'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S042'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S039'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S034'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S033'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S027'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S025'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S024'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S021'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S012'	'1'	'1'	'1'	'1'	'1'	'1'	'1'	
'S186'	'1'	'1'	'1'	'1'	'1'	'0'	'1'	
'S138'	'1'	'1'	'1'	'1'	'1'	'0'	'1'	
'S105'	'1'	'1'	'1'	'1'	'1'	'0'	'1'	
'S336'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S331'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S303'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S300'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S294'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S291'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S261'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S255'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S249'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S237'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S219'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S213'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S210'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S209'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S183'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S177'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S150'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S148'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S144'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S126'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S121'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S117'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S108'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S090'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
'S084'	'1'	'1'	'1'	'0'	'1'	'1'	'1'	
